id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
1,Middle Ages,8th,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,http://diglib.hab.de/edoc/ed000006/startx.htm,yes,yes,yes,LAT,Codex,2006,2010,Torsten Schaßan,Herzog August Bibliothek Wolfenbüttel,not provided,partly,yes,yes,partly,no,partly,yes,no,no,no,GER,no,no,no,yes,no,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Herzog August Bibliothek Wolfenbüttel,Italy,Gerda Henkel Stiftung,not provided,XML; XSLT,yes,no,yes,not provided,21.11115/0000-000B-D080-8
2,Early Modern,18th,The Thomas Gray Archive,http://www.thomasgray.org/,yes,yes,no,ENG; LAT; GRE,Manuscript,2000,present,Alexander Huber,University of Oxford; SUB Göttingen,Scholars,yes,yes,yes,yes,yes,yes,no,no,no,no,ENG,yes,yes,yes,yes,no,Open Access and Open Source (all data),no,no,yes,yes,yes,yes,Keyed,no,no,no,Various,Various,Institutional funding,not provided,HTML5; CSS; jQuery; custom built,yes,no,yes,not provided,21.11115/0000-000B-D081-7
3,Middle Ages,14th,A critical edition of the poetry of Dafydd ap Gwilym,http://www.dafyddapgwilym.net/,yes,yes,yes,WEL,Manuscript,2002,2007,Alexander Roberts; Dafydd Johnston,University of Swansea,Students of Celtic Studies,yes,yes,yes,yes,no,yes,yes,no,no,no,WEL; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,"Brogynin, Penrhyn-coch",AHRC,not provided,Javascript; Perl; Xmetal; Microsoft Active Server Pages (ASP); Microsoft SQL Server 2000; Anastasia; GroveMaker,yes,no,yes,not provided,21.11115/0000-000B-D082-6
4,Antiquity,5th,Saint Patrick's Confessio,http://www.confessio.ie/#,yes,yes,yes,LAT,Manuscript; Print,2008,2011,Franz Fischer; Anthony Harvey,Royal Irish Academy,Scholars; general public,yes,partly,partly,yes,yes,yes,yes,no,no,ENG; GER; GLA; ITA; POR,ENG,yes,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed; OCR,no,no,yes,"Various (Dublin, Paris, Rouen, Arras, Salisbury, London, Oxford)",Ireland,Higher Education Authority; European Regional Development Fund,not provided,Drupal,yes,no,yes,not provided,21.11115/0000-000B-D083-5
5,Middle Ages; Early Modern,14th-18th,Liber Matriculae - Il libro della matricola dei notai di Vercelli,http://scrineum.unipv.it/LM/home.html,yes,yes,yes,LAT,Manuscript,2000,not provided,Antonio Olivieri,Università degli Studi di Pavia,not provided,yes,yes,yes,no,no,yes,yes,no,no,no,ITA,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Archivio Storico Comunale di Vercelli,Vercelli,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D084-4
6,Early Modern,1662-1686,Correspondance de Pierre Bayle,http://bayle-correspondance.univ-st-etienne.fr/?lang=fr,yes,yes,yes,FRE,Manuscript; Letter,not provided,not provided,Antony McKenna,Université Jean Monnet Saint-Etienne; Université de Montpellier 3,not provided,partly,not provided,yes,yes,no,yes,no,no,no,no,FRE; ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,not provided,France,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D085-3
7,Antiquity,1st-2nd,Vindolanda Tablets Online,http://vindolanda.csad.ox.ac.uk/index.shtml,yes,yes,yes,LAT,Tablet,2001,2003,Charles Crowther; Alan Bowman,University of Oxford,not provided,yes,yes,yes,no,no,yes,yes,no,no,no,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,yes,not provided,The British Museum,Vindolanda,Andrew W. Mellon Foundation,not provided,PowerMacintosh server; 4D 6.8; WebSTAR V5; Apache XALAN; iSeeMedia Zoom Image Server; Macromedia Dreamweaver; Adobe ImageReady; XML,yes,no,yes,not provided,21.11115/0000-000B-D086-2
8,Antiquity,1st-2nd,Vindolanda Tablets Online II,http://vto2.classics.ox.ac.uk/,yes,yes,yes,LAT,Tablet,not provided,not provided,Charles Crowther; Alan Bowman,University of Oxford,Scholars; students; general public,partly,yes,yes,yes,yes,yes,yes,no,no,ENG,ENG,no,yes,yes,yes,no,Open Access and Open Source (all data),no,yes,no,yes,yes,no,Keyed,no,yes,no,The British Museum,Vindolanda,Andrew W. Mellon Foundation,not provided,APPELLO Web Service; Wordpress; AJAX; REST Web Service,no,no,no,not provided,21.11115/0000-000B-D087-1
9,Early Modern,1776,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",http://www.berardier.org/,yes,yes,yes,FRE,Print,2006,present,Christof Schöch,University of Würzburg,not provided,yes,no,no,yes,yes,no,no,no,no,no,FRE,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,yes,yes,no,Keyed,no,yes,not provided,not provided,France,not provided,not provided,Drupal; XML-TEI,yes,no,yes,not provided,21.11115/0000-000B-D088-0
10,Antiquity,Mid 4th,Codex Sinaiticus,http://codexsinaiticus.org/en/,yes,yes,yes,GRC,Codex,2003,present,Claire Breay; Leander Seige; Father Justin; Ekaterina Krushelnitskaya,British Library; National Library of Russia; St. Catherine's Monastery; Leipzig University Library,Global audience,yes,not provided,yes,yes,yes,yes,yes,no,yes,partly,ENG; GER; GRE; RUS,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,no,not provided,not provided,British Library; Leipzig University Library; National Library of Russia; St. Catherine’s Monastery,"Saint Catherine's Monastery. Mount Sinai, Egypt",AHRC; Deutsche Forschungsgemeinschaft; Stavros Niarchos Foundation; A.G. Leventis Foundation,not provided,HTML; CSS; JavaScript; AJAX,yes,http://ride.i-d-e.de/issues/issue-1/codex-sinaiticus/,yes,not provided,21.11115/0000-000B-D089-F
