id,Institution Name,Institution GND,Institution Lat,Institution Lng,located at,location geonames ID,location Lat,location Lng,part of,type of location,institution website
1,N/A,,,,,,,,,,
2,Various,,,,,,,,,,
3,not provided,,,,,,,,,,
4,National Museum of Australia,http://d-nb.info/gnd/4439156-0,-35.2917,149.1195,Canberra,2172517,-35.28346,149.12807,Australia,city,http://www.nma.gov.au
5,National Library of Australia,http://d-nb.info/gnd/5118704-8,-35.296624,149.129825,Canberra,2172517,-35.28346,149.12807,Australia,city,https://www.nla.gov.au
6,State Library of Victoria,http://d-nb.info/gnd/1092307-X,-37.809785,144.965194,Melbourne,2158177,-37.814,144.96332,Australia,city,https://www.slv.vic.gov.au/
7,Victoria University Library,,-37.79285,144.898997,Melbourne,2158177,-37.814,144.96332,Australia,city,https://www.vu.edu.au/library
8,University of Sydney Library,http://d-nb.info/gnd/80357-1,-33.88856,151.187351,Sydney,2147714,-33.86785,151.20732,Australia,city,https://library.sydney.edu.au/
9,State Library of New South Wales,http://d-nb.info/gnd/4268267-8,-33.866744,151.212785,Sydney,2147714,-33.86785,151.20732,Australia,city,http://www.sl.nsw.gov.au/
10,Zentrum für Informationsmodellierung Universität Graz,http://d-nb.info/gnd/1137284463,47.076346,15.456173,Graz,2778067,47.06667,15.45,Austria,city,https://informationsmodellierung.uni-graz.at/
11,Franz Nabl Institut für Literaturforschung Universität Graz,http://d-nb.info/gnd/2125265-8,47.074703,15.451488,Graz,2778067,47.06667,15.45,Austria,city,https://franz-nabl-institut.uni-graz.at/
12,Stiftung Mozarteum Salzburg,http://d-nb.info/gnd/16271979-6,47.803503,13.041992,Salzburg,2766824,47.79941,13.04399,Austria,city,http://www.mozarteum.at
13,Österreichische Nationalbibliothek,http://d-nb.info/gnd/2050296-5,48.205432,16.365011,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.onb.ac.at
14,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,https://d-nb.info/gnd/1123037736,48.209133,16.377123,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.oeaw.ac.at/acdh/acdh-ch-home
15,Austrian Academy of Sciences,http://d-nb.info/gnd/1001454-8,48.208873,16.37719,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.oeaw.ac.at/en/austrian-academy-of-sciences/
16,Austrian National Library,https://d-nb.info/gnd/2020893-5,48.2062709374524,16.3667399418258,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.onb.ac.at/
17,University of Vienna,http://d-nb.info/gnd/2024703-5,48.213184,16.360052,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.univie.ac.at/en/
18,Theatermuseum Wien,http://d-nb.info/gnd/1033329-0,48.205668,16.368535,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.theatermuseum.at/
19,Robert Musil-Institut für Literaturforschung - Kärntner Literaturarchiv at Alpen-Adria-Universität Klagenfurt,http://d-nb.info/gnd/2154836-5,46.616095,14.265285,Klagenfurt am Wörthersee,2774326,46.62472,14.30528,Austria,city,https://www.aau.at/musil/
20,Universität für Musik und darstellende Kunst,http://d-nb.info/gnd/5299670-0,48.195714,16.38139,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.mdw.ac.at
21,Karl-Franzens Universität Graz,http://d-nb.info/gnd/36157-4,47.077804,15.449923,Graz,2778067,47.06667,15.45,Austria,city,https://www.uni-graz.at/
22,Institut für Geschichtswissenschaften und Europäische Ethnologie (Universität Innsbruck),http://d-nb.info/gnd/16332395-1,47.26409,11.384556,Innsbruck,2775220,47.26266,11.39454,Austria,city,https://www.uibk.ac.at/geschichte-ethnologie/
23,Wienbibliothek im Rathaus,https://d-nb.info/gnd/10144442-4 ,48.2120818616728,16.3575141158021,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.wienbibliothek.at/
24,University of Antwerp,http://d-nb.info/gnd/5017340-6,51.1641,4.4066,Antwerp,2803138,51.21989,4.40346,Belgium,city,https://www.uantwerpen.be/en/
25,University of Ghent,http://d-nb.info/gnd/10019747-4,51.046569,3.727918,Ghent,2797656,51.05,3.71667,Belgium,city,https://www.ugent.be/
26,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),http://d-nb.info/gnd/10082555-2,51.0558,3.7281,Ghent,2797656,51.05,3.71667,Belgium,city,http://ctb.kantl.be
27,Royal Museum for Central Africa,http://d-nb.info/gnd/1006819-3,50.830895,4.518294,Tervuren,2785622,50.82372,4.51418,Belgium,city,http://www.africamuseum.be/home
28,King Baudouin Foundation,http://d-nb.info/gnd/809939-X,50.840375,4.3623,Bruxelles,2800866,50.85045,4.34878,Belgium,city,https://www.kbs-frb.be/en
29,Letterenhuis,http://d-nb.info/gnd/102772695X,51.222857,4.404685,Antwerp,2803138,51.21989,4.40346,Belgium,city,http://www.letterenhuis.be/nl
30,University of New Brunswick,http://d-nb.info/gnd/11143-0,45.9462,-66.6406,Barkers Point,5893060,45.95165,-66.62339,Canada,city,http://www.unb.ca
31,University of New Brunswick Archives and Special Collections,,45.946066,-66.642794,Fredericton,5957776,45.94541,-66.66558,Canada,city,http://www.unb.ca/its/get-it-help.html
32,University of Calgary,http://d-nb.info/gnd/3003635-5,51.078164,-114.135796,Montgomery,6077007,51.07511,-114.16449,Canada,city,http://www.ucalgary.ca
33,Memorial University of Newfoundland,http://d-nb.info/gnd/16156656-X,47.5717,-52.7324,Sand Pits,6140443,47.56659,-52.73134,Canada,city,https://www.mun.ca
34,University of Victoria,http://d-nb.info/gnd/5088685-X,48.4661,-123.3125,Cadboro Bay,5913113,48.46667,-123.3,Canada,city,http://www.uvic.ca
35,University of Saskatchewan,http://d-nb.info/gnd/25782-5,52.1334,-106.631365,Saskatoon,6141256,52.13238,-106.66892,Canada,city,https://www.usask.ca
36,Bruce Peel Special Collections Library at the University of Alberta,,53.525787,-113.521607,Edmonton,5946768,53.55014,-113.46871,Canada,city,https://bpsc.library.ualberta.ca/
37,University of Zagreb,http://d-nb.info/gnd/1014349-X,45.81057,15.969784,Zagreb,3186886,45.81444,15.97798,Croatia,city,http://www.unizg.hr/homepage/
38,Nacionalna i sveučilišna knjižnica u Zagrebu,http://d-nb.info/gnd/10025602-8,45.796644,15.97756,Zagreb,3186886,45.81444,15.97798,Croatia,city,http://www.nsk.hr/
39,University of Copenhagen,http://d-nb.info/gnd/36485-X,55.680205,12.572393,Copenhagen,2618425,55.67594,12.56553,Denmark,city,http://www.ku.dk/english/
40,Det Kongelige Bibliotek,http://d-nb.info/gnd/43027-4,55.673406,12.582663,Copenhagen,2618425,55.67594,12.56553,Denmark,city,http://www.kb.dk/da/index.html
